test,tot_cyc,tot_insn,iter
0,8460294753,19770002406,1000000
1,9068985442,21562000715,1000000
2,9650126445,23323000737,1000000
3,12668273758,24880000964,1000000
4,13234472740,26545001059,1000000
5,13667621088,27998001052,1000000
6,14039159493,29367001017,1000000
7,14442757914,30708001092,1000000
8,14733180163,31877001178,1000000
9,15085133758,33074001191,1000000
10,15351811388,34107001168,1000000
11,15648192943,35112001189,1000000
12,15821043673,35849001162,1000000
13,16351605759,36806001254,1000000
14,16536628050,37503001233,1000000
15,16481598926,38116001221,1000000
16,16795148167,38701001254,1000000
17,16767290807,39114001158,1000000
18,16781529253,39579001239,1000000
19,16875202862,39856000957,1000000
20,16988110095,40049001146,1000000
21,17066571821,40214001403,1000000
22,16780941287,40175001265,1000000
23,16850008779,40244001304,1000000
24,16617713004,40101001192,1000000
25,16455965858,39874001189,1000000
26,16340710598,39619001218,1000000
27,16157451558,39192001195,1000000
28,15912465836,38817001155,1000000
29,15734591358,38254001164,1000000
30,15599485827,37607001170,1000000
31,15180608399,36932001096,1000000
32,14765157205,36021001101,1000000
33,14669901340,35274001155,1000000
34,14184049328,34291001072,1000000
35,13672182348,33224001025,1000000
36,13397411118,32129001093,1000000
37,12961503570,30862001134,1000000
38,13045385601,29647000884,1000000
39,12114657513,28244000812,1000000
40,11388967704,26757000809,1000000
41,10991848277,25242000735,1000000
42,10181359517,23523000810,1000000
43,9623959167,21912000790,1000000
44,8965142968,20089000707,1000000
45,8180141711,18182000680,1000000
46,7482478318,16247000454,1000000
47,6729008425,14140000557,1000000
48,5945813863,12061000511,1000000
49,5031683631,9818000277,1000000
